timestamp,data
1748297423462923100,V
1748297423462926000,Ch4:
1748297423462928900,0.7153
1748297423462931900,V
1748297423472940500,C
1748297423472964800,h1:
1748297423472968400,-0.0003
1748297423472971400,V
1748297423472974400,Ch2:
1748297423472977300,0.0006
1748297423472980100,V
1748297423472982900,Ch3:
1748297423472985900,-0.0150
1748297423472988800,V
1748297423472991700,Ch4:
1748297423472994300,1.0840
1748297423472996900,V
1748297423483031700,C
1748297423483057800,h1:
1748297423483061300,0.0000
1748297423483064000,V
1748297423483067200,Ch2:
1748297423483070200,0.0006
1748297423483073100,V
1748297423483075700,Ch3:
1748297423483078700,-0.0159
1748297423483081500,V
1748297423483084200,Ch4:
1748297423483087200,1.4066
1748297423483089800,V
1748297423492935000,C
1748297423492964500,h1:
1748297423492968400,0.0000
1748297423492971200,V
1748297423492974200,Ch2:
1748297423492977400,0.0006
1748297423492980000,V
1748297423492982800,Ch3:
1748297423492985500,-0.0174
1748297423492988100,V
1748297423492990900,Ch4:
1748297423492993500,1.6687
1748297423492996100,V
1748297423502927900,C
1748297423502957200,h1:
1748297423502962100,-0.0003
1748297423502966400,V
1748297423502970800,Ch2:
1748297423502975100,0.0006
1748297423502978900,V
1748297423502982700,Ch3:
1748297423502986800,-0.0186
1748297423502990700,V
1748297423502994900,Ch4:
1748297423502998900,1.8610
1748297423503002600,V
1748297423513027500,C
1748297423513057100,h1:
1748297423513060600,-0.0003
1748297423513063500,V
1748297423513066600,Ch2:
1748297423513069400,0.0006
1748297423513072300,V
1748297423513075300,Ch3:
1748297423513078200,-0.0162
1748297423513080900,V
1748297423513084000,Ch4:
1748297423513087000,1.9730
1748297423513090100,V
1748297423523076700,C
1748297423523100000,h1:
1748297423523103600,0.0000
1748297423523106700,V
1748297423523109800,Ch2:
1748297423523112800,0.0006
1748297423523115800,V
1748297423523118600,Ch3:
1748297423523121700,-0.0150
1748297423523124300,V
1748297423523127000,Ch4:
1748297423523129700,2.0016
1748297423523132300,V
1748297423533146000,C
1748297423533185900,h1:
1748297423533189700,0.0000
1748297423533192500,V
1748297423533195700,Ch2:
1748297423533198900,0.0006
1748297423533201600,V
1748297423533204600,Ch3:
1748297423533207800,-0.0116
1748297423533210400,V
1748297423533213100,Ch4:
1748297423533215800,1.9443
1748297423533218600,V
1748297423543149000,C
1748297423543167700,h1:
1748297423543171200,-0.0003
1748297423543174000,V
1748297423543177000,Ch2:
1748297423543179700,0.0003
1748297423543182800,V
1748297423543185600,Ch3:
1748297423543188600,-0.0079
1748297423543195200,V
1748297423543199700,Ch4:
1748297423543202600,1.8048
1748297423543205500,V
1748297423553167500,C
1748297423553187900,h1:
1748297423553192000,-0.0006
1748297423553195000,V
1748297423553197800,Ch2:
1748297423553200700,0.0006
1748297423553203500,V
1748297423553206600,Ch3:
1748297423553209700,-0.0061
1748297423553212400,V
1748297423553215300,Ch4:
1748297423553218100,1.5881
1748297423553220700,V
1748297423563187200,C
1748297423563213500,h1:
1748297423563217300,-0.0003
1748297423563220200,V
1748297423563223600,Ch2:
1748297423563226900,0.0009
1748297423563229800,V
1748297423563233300,Ch3:
1748297423563236600,0.0021
1748297423563239800,V
1748297423563242700,Ch4:
1748297423563246200,1.3043
1748297423563249500,V
1748297423573182200,C
1748297423573209400,h1:
1748297423573213800,-0.0006
1748297423573216500,V
1748297423573219800,Ch2:
1748297423573222800,0.0006
1748297423573225600,V
1748297423573228400,Ch3:
1748297423573231100,0.0064
1748297423573233800,V
1748297423573236700,Ch4:
1748297423573239700,0.9647
1748297423573242500,V
1748297423583206800,C
1748297423583234300,h1:
1748297423583238200,-0.0003
1748297423583241300,V
1748297423583244600,Ch2:
1748297423583247400,0.0009
1748297423583250200,V
1748297423583253100,Ch3:
1748297423583255800,0.0116
1748297423583258300,V
1748297423583261300,Ch4:
1748297423583264100,0.5838
1748297423583266800,V
1748297423593235800,C
1748297423593256100,h1:
1748297423593260200,-0.0003
1748297423593263100,V
1748297423593266200,Ch2:
1748297423593269200,0.0009
1748297423593272100,V
1748297423593275000,Ch3:
1748297423593278700,0.0183
1748297423593281400,V
1748297423593284700,Ch4:
1748297423593287600,0.1782
1748297423593290100,V
1748297423603248100,C
1748297423603268000,h1:
1748297423603272000,0.0000
1748297423603275100,V
1748297423603278400,Ch2:
1748297423603281400,0.0009
1748297423603284300,V
1748297423603287300,Ch3:
1748297423603290300,0.0220
1748297423603293000,V
1748297423603295700,Ch4:
1748297423603299000,-0.2353
1748297423603301500,V
1748297423613347800,C
1748297423613375400,h1:
1748297423613379500,0.0000
1748297423613382700,V
1748297423613386000,Ch2:
1748297423613389200,0.0009
1748297423613392200,V
1748297423613395400,Ch3:
1748297423613398700,0.0266
1748297423613402000,V
1748297423613404900,Ch4:
1748297423613407700,-0.6384
1748297423613410600,V
1748297423623371700,C
1748297423623411000,h1:
1748297423623419700,-0.0003
1748297423623426500,V
1748297423623433300,Ch2:
1748297423623440000,0.0006
1748297423623446400,V
1748297423623453900,Ch3:
1748297423623460900,0.0296
1748297423623467100,V
1748297423623473500,Ch4:
1748297423623479900,-1.0135
1748297423623486300,V
1748297423633444100,C
1748297423633470500,h1:
1748297423633474200,-0.0003
1748297423633477000,V
1748297423633479800,Ch2:
1748297423633482900,0.0009
1748297423633485500,V
1748297423633488300,Ch3:
1748297423633491400,0.0320
1748297423633494300,V
1748297423633497000,Ch4:
